DOUBLES (AABC) — HIT LOG (DATE SORTED) — QUALIFIED FAMILIES ONLY
Each row is one AABC hit in a stream. Member is boxkey4 (sorted digits). fixed_rank is 1–78 family stream rank.
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday) | Qualified families: 56
--------------------------------------------------------------------------------------------------------------------------------------------
DATE       FAM MEM  STREAM                                   FIX 60H 60/WK  90H 90/WK  180H 180/WK 
--------------------------------------------------------------------------------------------------------------------------------------------
2023-01-27 013 0113 California - Daily 4                      NA 019   2.22 026   2.02  050    1.94
2023-01-27 019 0019 Tennessee - Cash 4 Evening                NA 018   2.10 023   1.79  054    2.10
2023-01-27 025 0025 Mississippi - Cash 4 Evening              NA 019   2.22 025   1.94  049    1.91
2023-01-27 027 0227 Iowa - Pick 4 Midday                      NA 020   2.33 029   2.26  051    1.98
2023-01-27 027 0277 Ontario - Pick 4 Evening                  NA 020   2.33 029   2.26  051    1.98
2023-01-27 028 0028 Puerto Rico - Pega 4 Noche                NA 017   1.98 033   2.57  054    2.10
2023-01-27 028 0028 Texas - Daily 4 Morning                   NA 017   1.98 033   2.57  054    2.10
2023-01-27 046 0446 Ontario - Pick 4 Midday                   NA 018   2.10 023   1.79  048    1.87
2023-01-27 068 0688 Idaho - Pick 4 Day                        NA 023   2.68 037   2.88  057    2.22
2023-01-27 129 1229 Virginia - Pick 4 Night                   48 025   2.92 029   2.26  045    1.75
2023-01-27 135 1135 Ohio - Pick 4 Evening                     17 023   2.68 030   2.33  051    1.98
2023-01-27 168 1688 Western Canada - Pick 4                   02 018   2.10 024   1.87  042    1.63
2023-01-27 169 1169 Illinois - Pick 4 Evening                 23 018   2.10 031   2.41  056    2.18
2023-01-27 249 2449 New York - Win 4 Midday                   12 021   2.45 033   2.57  060    2.33
2023-01-27 257 2577 Mississippi - Cash 4 Midday               53 012   1.40 021   1.63  052    2.02
2023-01-27 389 3389 Indiana - Daily 4 Evening                 60 019   2.22 031   2.41  057    2.22
2023-01-27 789 7889 Michigan - Daily 4 Evening                17 021   2.45 031   2.41  061    2.37
2023-01-27 789 7899 Michigan - Daily 4 Midday                 14 021   2.45 031   2.41  061    2.37
2023-01-27 789 7789 Tri-State (ME, NH & VT) - Pick 4 Day      26 021   2.45 031   2.41  061    2.37
2023-01-28 017 0017 Pennsylvania - Pick 4 Evening             NA 018   2.10 027   2.10  046    1.79
2023-01-28 029 0229 North Carolina - Pick 4 Evening           NA 019   2.22 030   2.33  053    2.06
2023-01-28 046 0466 Ohio - Pick 4 Midday                      NA 018   2.10 023   1.79  048    1.87
2023-01-28 046 0046 Québec - Quotidienne 4                    NA 018   2.10 023   1.79  048    1.87
2023-01-28 048 0048 Tennessee - Cash 4 Morning                NA 021   2.45 031   2.41  059    2.29
2023-01-28 059 0599 Iowa - Pick 4 Midday                      NA 019   2.22 031   2.41  047    1.83
2023-01-28 059 0559 South Carolina - Pick 4 Evening           NA 019   2.22 031   2.41  047    1.83
2023-01-28 067 0067 New Jersey - Pick 4 Midday                NA 019   2.22 027   2.10  050    1.94
2023-01-28 129 1299 New York - Win 4 Evening                  53 025   2.92 029   2.26  045    1.75
2023-01-28 378 3378 Oregon - Pick 4 1pm                       36 020   2.33 027   2.10  060    2.33
2023-01-28 456 4556 Iowa - Pick 4 Evening                     74 022   2.57 030   2.33  052    2.02
2023-01-28 459 4559 Louisiana - Pick 4                        16 017   1.98 024   1.87  056    2.18
2023-01-28 489 4889 Ontario - Pick 4 Midday                   69 019   2.22 029   2.26  054    2.10
2023-01-28 679 6779 Missouri - Pick 4 Evening                 23 017   1.98 031   2.41  046    1.79
2023-01-28 789 7789 New York - Win 4 Midday                   08 021   2.45 031   2.41  061    2.37
2023-01-28 789 7789 Puerto Rico - Pega 4 Noche                54 021   2.45 031   2.41  061    2.37
2023-01-29 013 0013 Iowa - Pick 4 Midday                      NA 019   2.22 026   2.02  050    1.94
2023-01-29 017 0177 Georgia - Cash 4 Night                    NA 018   2.10 027   2.10  046    1.79
2023-01-29 017 0017 Washington, D.C. - DC-4 7:50pm            NA 018   2.10 027   2.10  046    1.79
2023-01-29 024 0224 Québec - Quotidienne 4                    NA 015   1.75 024   1.87  052    2.02
2023-01-29 027 0227 Louisiana - Pick 4                        NA 020   2.33 029   2.26  051    1.98
2023-01-29 038 0338 Georgia - Cash 4 Evening                  NA 021   2.45 030   2.33  058    2.26
2023-01-29 078 0778 Delaware - Play 4 Night                   NA 018   2.10 024   1.87  038    1.48
2023-01-29 129 1229 Michigan - Daily 4 Evening                65 025   2.92 029   2.26  045    1.75
2023-01-29 236 2366 New Mexico - Pick 4 Evening               58 018   2.10 029   2.26  047    1.83
2023-01-29 278 2278 Pennsylvania - Pick 4 Day                 10 028   3.27 037   2.88  057    2.22
2023-01-29 345 3345 Connecticut - Play 4 Day                  32 019   2.22 028   2.18  051    1.98
2023-01-29 348 3488 Idaho - Pick 4 Day                        25 015   1.75 026   2.02  038    1.48
2023-01-29 378 3378 Indiana - Daily 4 Evening                 19 020   2.33 027   2.10  060    2.33
2023-01-29 389 3899 Massachusetts - Numbers Game Midday       13 019   2.22 031   2.41  057    2.22
2023-01-30 016 0116 Oregon - Pick 4 10pm                      NA 025   2.92 031   2.41  055    2.14
2023-01-30 046 0466 Illinois - Pick 4 Evening                 NA 018   2.10 023   1.79  048    1.87
2023-01-30 046 0446 Québec - Quotidienne 4                    NA 018   2.10 023   1.79  048    1.87
2023-01-30 146 1466 Pennsylvania - Pick 4 Day                 06 018   2.10 025   1.94  055    2.14
2023-01-30 167 1167 Wisconsin - Pick 4 Evening                11 020   2.33 029   2.26  053    2.06
2023-01-30 245 2245 North Carolina - Pick 4 Daytime           10 013   1.52 031   2.41  052    2.02
2023-01-30 249 2449 Connecticut - Play 4 Day                  36 021   2.45 033   2.57  060    2.33
