DOUBLES (AABC) — CORE FAMILY SUMMARY
File span: 2023-01-27 to 2026-01-26 (1096 days ~156.6 weeks)
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday)
Qualified (>=2.0 hits/wk): any-window=56 | 60d=43 | 90d=41 | 180d=33

FAM   60d  60/wk   90d  90/wk   180d  180/wk     3yr  3yr/wk
------------------------------------------------------------------------------------------
278    28   3.27    37   2.88     57    2.22     294    1.88
359    27   3.15    36   2.80     59    2.29     304    1.94
016    25   2.92    31   2.41     55    2.14     324    2.07
129    25   2.92    29   2.26     45    1.75     262    1.67
457    24   2.80    35   2.72     54    2.10     306    1.95
689    24   2.80    34   2.64     55    2.14     276    1.76
068    23   2.68    37   2.88     57    2.22     304    1.94
018    23   2.68    34   2.64     61    2.37     288    1.84
135    23   2.68    30   2.33     51    1.98     267    1.71
012    23   2.68    30   2.33     49    1.91     265    1.69
456    22   2.57    30   2.33     52    2.02     321    2.05
249    21   2.45    33   2.57     60    2.33     287    1.83
789    21   2.45    31   2.41     61    2.37     311    1.99
048    21   2.45    31   2.41     59    2.29     282    1.80
038    21   2.45    30   2.33     58    2.26     314    2.01
246    21   2.45    27   2.10     50    1.94     284    1.81
258    20   2.33    32   2.49     52    2.02     293    1.87
357    20   2.33    30   2.33     59    2.29     283    1.81
167    20   2.33    29   2.26     53    2.06     309    1.97
027    20   2.33    29   2.26     51    1.98     291    1.86
378    20   2.33    27   2.10     60    2.33     302    1.93
279    20   2.33    25   1.94     43    1.67     260    1.66
389    19   2.22    31   2.41     57    2.22     319    2.04
379    19   2.22    31   2.41     53    2.06     286    1.83
059    19   2.22    31   2.41     47    1.83     281    1.79
029    19   2.22    30   2.33     53    2.06     298    1.90
238    19   2.22    30   2.33     47    1.83     291    1.86
489    19   2.22    29   2.26     54    2.10     284    1.81
345    19   2.22    28   2.18     51    1.98     287    1.83
567    19   2.22    28   2.18     43    1.67     288    1.84
067    19   2.22    27   2.10     50    1.94     277    1.77
013    19   2.22    26   2.02     50    1.94     279    1.78
025    19   2.22    25   1.94     49    1.91     298    1.90
169    18   2.10    31   2.41     56    2.18     330    2.11
236    18   2.10    29   2.26     47    1.83     266    1.70
017    18   2.10    27   2.10     46    1.79     303    1.94
579    18   2.10    26   2.02     39    1.52     271    1.73
146    18   2.10    25   1.94     55    2.14     300    1.92
149    18   2.10    25   1.94     43    1.67     268    1.71
168    18   2.10    24   1.87     42    1.63     303    1.94
078    18   2.10    24   1.87     38    1.48     253    1.62
019    18   2.10    23   1.79     54    2.10     313    2.00
046    18   2.10    23   1.79     48    1.87     276    1.76
028    17   1.98    33   2.57     54    2.10     296    1.89
679    17   1.98    31   2.41     46    1.79     300    1.92
459    17   1.98    24   1.87     56    2.18     287    1.83
179    16   1.87    25   1.94     53    2.06     284    1.81
056    16   1.87    24   1.87     52    2.02     286    1.83
348    15   1.75    26   2.02     38    1.48     280    1.79
024    15   1.75    24   1.87     52    2.02     275    1.76
589    14   1.63    26   2.02     54    2.10     289    1.85
145    14   1.63    26   2.02     49    1.91     268    1.71
239    14   1.63    23   1.79     52    2.02     294    1.88
245    13   1.52    31   2.41     52    2.02     297    1.90
023    13   1.52    23   1.79     52    2.02     301    1.92
257    12   1.40    21   1.63     52    2.02     321    2.05
