core_family,Member,repeat_digit,trait,value,trait_member_hits,trait_core_hits,baseline_member_rate,trait_member_rate,lift,lift_diff
12,2201,2,seed_vtrac_unique,4,9,49,0.3247232472324723,0.1836734693877551,0.565630797773655,-0.1410497778447172
12,0012,0,seed_sum_lastdigit,8,6,30,0.3210332103321033,0.2,0.6229885057471265,-0.12103321033210329
12,1102,1,seed_sum_lastdigit,2,7,31,0.35424354243542433,0.22580645161290322,0.6374327956989247,-0.1284370908225211
12,2201,2,seed_sum_lastdigit,7,7,30,0.3247232472324723,0.23333333333333334,0.7185606060606061,-0.09138991389913897
12,0012,0,seed_sum_lastdigit,6,7,29,0.3210332103321033,0.2413793103448276,0.7518826793499802,-0.0796538999872757
12,1102,1,seed_sum_lastdigit,1,7,26,0.35424354243542433,0.2692307692307692,0.7600160256410257,-0.08501277320465511
12,0012,0,seed_spread_band,0-3,9,36,0.3210332103321033,0.25,0.7787356321839081,-0.0710332103321033
12,2201,2,seed_prime_count,1,22,87,0.3247232472324723,0.25287356321839083,0.7787356321839082,-0.07184968401408148
12,2201,2,seed_consecutive_pairs,2,15,58,0.3247232472324723,0.25862068965517243,0.7964341692789969,-0.06610255757729988
12,0012,0,seed_trail_band,0-3,29,110,0.3210332103321033,0.2636363636363636,0.8212121212121212,-0.05739684669573969
12,0012,0,seed_vtrac_unique,2,14,53,0.3210332103321033,0.2641509433962264,0.8228150075905444,-0.05688226693587689
12,2201,2,seed_trail_band,4-6,23,86,0.3247232472324723,0.26744186046511625,0.8235993657505285,-0.05728138676735606
12,0012,0,seed_even_count,2,27,102,0.3210332103321033,0.2647058823529412,0.8245436105476674,-0.05632732797916212
12,2201,2,seed_sum_lastdigit,4,7,26,0.3247232472324723,0.2692307692307692,0.8291083916083916,-0.055492478001703094
12,1102,1,seed_sum_lastdigit,5,10,34,0.35424354243542433,0.29411764705882354,0.8302696078431373,-0.06012589537660079
12,0012,0,seed_sum_lastdigit,7,8,30,0.3210332103321033,0.26666666666666666,0.8306513409961687,-0.05436654366543664
12,2201,2,seed_sum_band,18-26,34,126,0.3247232472324723,0.2698412698412698,0.8309884559884559,-0.054881977391202486
12,2201,2,seed_structure,ABCD,40,147,0.3247232472324723,0.272108843537415,0.8379715522572666,-0.05261440369505732
12,2201,2,seed_unique_count,4,40,147,0.3247232472324723,0.272108843537415,0.8379715522572666,-0.05261440369505732
12,2201,2,seed_repeat_digit,none,40,147,0.3247232472324723,0.272108843537415,0.8379715522572666,-0.05261440369505732
12,0012,0,seed_sum_lastdigit,1,7,26,0.3210332103321033,0.2692307692307692,0.8386383731211318,-0.051802441101334085
12,1102,1,seed_high_count,3,21,70,0.35424354243542433,0.3,0.846875,-0.05424354243542434
12,0012,0,seed_mirror_pairs_any,yes,36,132,0.3210332103321033,0.2727272727272727,0.8495297805642633,-0.048305937604830596
12,1102,1,seed_prime_count,3,14,46,0.35424354243542433,0.30434782608695654,0.8591485507246378,-0.04989571634846779
12,0012,0,seed_prime_count,2,29,104,0.3210332103321033,0.27884615384615385,0.8685897435897436,-0.04218705648594945
12,2201,2,seed_spread_band,7-9,32,113,0.3247232472324723,0.2831858407079646,0.8720836685438456,-0.041537406524507714
12,2201,2,seed_sum_mod3,2,25,88,0.3247232472324723,0.2840909090909091,0.8748708677685951,-0.040632338141563196
12,1102,1,seed_spread_band,4-6,38,122,0.35424354243542433,0.3114754098360656,0.8792691256830603,-0.042768132599358744
12,2201,2,seed_high_count,3,20,70,0.3247232472324723,0.2857142857142857,0.8798701298701298,-0.03900896151818661
12,1102,1,seed_structure,AABC,34,109,0.35424354243542433,0.3119266055045872,0.8805428134556575,-0.04231693693083716
12,1102,1,seed_unique_count,3,34,109,0.35424354243542433,0.3119266055045872,0.8805428134556575,-0.04231693693083716
12,1102,1,seed_even_count,1,20,64,0.35424354243542433,0.3125,0.8821614583333334,-0.04174354243542433
12,0012,0,seed_high_count,1,18,63,0.3210332103321033,0.2857142857142857,0.8899835796387521,-0.035318924617817604
12,2201,2,seed_lead_band,7-9,23,79,0.3247232472324723,0.2911392405063291,0.8965765247410817,-0.0335840067261432
12,0012,0,seed_sum_mod3,0,28,97,0.3210332103321033,0.28865979381443296,0.8991586680886361,-0.03237341651767034
12,1102,1,seed_vtrac_unique,2,17,53,0.35424354243542433,0.32075471698113206,0.9054638364779874,-0.03348882545429227
12,1102,1,seed_sum_mod2,1,43,134,0.35424354243542433,0.3208955223880597,0.9058613184079602,-0.033348020047364646
12,0012,0,seed_sum_mod2,0,40,137,0.3210332103321033,0.291970802919708,0.9094722711636882,-0.029062407412395297
12,1102,1,seed_consecutive_pairs,0,30,93,0.35424354243542433,0.3225806451612903,0.9106182795698925,-0.031662897274134016
12,1102,1,seed_lead_band,4-6,26,80,0.35424354243542433,0.325,0.9174479166666668,-0.02924354243542432
13,1103,1,seed_prime_count,2,26,121,0.3170731707317073,0.21487603305785125,0.6776859504132231,-0.10219713767385608
13,3301,3,seed_spread_band,0-3,9,38,0.34843205574912894,0.23684210526315788,0.6797368421052631,-0.11158995048597106
13,1103,1,seed_vtrac_unique,2,13,59,0.3170731707317073,0.22033898305084745,0.6949152542372881,-0.09673418768085987
13,3301,3,seed_sum_lastdigit,3,8,33,0.34843205574912894,0.24242424242424243,0.6957575757575757,-0.10600781332488651
13,0013,0,seed_prime_count,0,8,34,0.3344947735191638,0.23529411764705882,0.7034313725490196,-0.09920065587210497
13,0013,0,seed_sum_lastdigit,2,6,25,0.3344947735191638,0.24,0.7174999999999999,-0.0944947735191638
13,0013,0,seed_sum_lastdigit,7,7,29,0.3344947735191638,0.2413793103448276,0.7216235632183908,-0.0931154631743362
13,1103,1,seed_mirror_pairs_any,yes,31,135,0.3170731707317073,0.22962962962962963,0.7242165242165242,-0.0874435411020777
13,1103,1,seed_even_count,2,24,102,0.3170731707317073,0.23529411764705882,0.7420814479638009,-0.0817790530846485
13,0013,0,seed_sum_lastdigit,5,8,31,0.3344947735191638,0.25806451612903225,0.7715053763440859,-0.07643025739013154
13,1103,1,seed_high_count,3,18,70,0.3170731707317073,0.2571428571428571,0.8109890109890109,-0.059930313588850204
13,1103,1,seed_sum_mod2,0,34,132,0.3170731707317073,0.25757575757575757,0.8123543123543123,-0.05949741315594975
13,0013,0,seed_trail_band,4-6,23,84,0.3344947735191638,0.27380952380952384,0.818576388888889,-0.060685249709639955
13,0013,0,seed_sum_lastdigit,8,8,29,0.3344947735191638,0.27586206896551724,0.8247126436781609,-0.05863270455364655
13,3301,3,seed_lead_band,4-6,23,80,0.34843205574912894,0.2875,0.8251249999999999,-0.060932055749128966
13,0013,0,seed_high_count,2,27,96,0.3344947735191638,0.28125,0.8408203124999999,-0.05324477351916379
13,0013,0,seed_prime_count,1,25,88,0.3344947735191638,0.2840909090909091,0.849313446969697,-0.050403864428254674
13,3301,3,seed_structure,AABC,34,114,0.34843205574912894,0.2982456140350877,0.8559649122807016,-0.05018644171404124
13,3301,3,seed_unique_count,3,34,114,0.34843205574912894,0.2982456140350877,0.8559649122807016,-0.05018644171404124
13,1103,1,seed_structure,ABCD,43,157,0.3170731707317073,0.27388535031847133,0.8637922586967173,-0.04318782041323599
13,1103,1,seed_unique_count,4,43,157,0.3170731707317073,0.27388535031847133,0.8637922586967173,-0.04318782041323599
13,1103,1,seed_repeat_digit,none,43,157,0.3170731707317073,0.27388535031847133,0.8637922586967173,-0.04318782041323599
13,0013,0,seed_spread_band,0-3,11,38,0.3344947735191638,0.2894736842105263,0.8654057017543859,-0.04502108930863746
13,3301,3,seed_even_count,3,23,76,0.34843205574912894,0.3026315789473684,0.8685526315789474,-0.045800476801760526
13,3301,3,seed_sum_lastdigit,1,10,33,0.34843205574912894,0.30303030303030304,0.8696969696969696,-0.045401752718825905
13,1103,1,seed_sum_band,18-26,32,116,0.3170731707317073,0.27586206896551724,0.870026525198939,-0.041211101766190084
13,1103,1,seed_sum_lastdigit,4,8,29,0.3170731707317073,0.27586206896551724,0.870026525198939,-0.041211101766190084
13,3301,3,seed_trail_band,7-9,28,92,0.34843205574912894,0.30434782608695654,0.8734782608695653,-0.0440842296621724
13,1103,1,seed_spread_band,4-6,35,126,0.3170731707317073,0.2777777777777778,0.8760683760683761,-0.03929539295392953
13,0013,0,seed_mirror_pairs_any,no,45,152,0.3344947735191638,0.29605263157894735,0.8850740131578946,-0.038442141940216445
13,3301,3,seed_mirror_pairs_any,no,47,152,0.34843205574912894,0.3092105263157895,0.8874342105263158,-0.03922152943333945
13,3301,3,seed_sum_mod3,1,30,97,0.34843205574912894,0.30927835051546393,0.8876288659793814,-0.039153705233665015
13,3301,3,seed_sum_mod2,1,48,155,0.34843205574912894,0.3096774193548387,0.888774193548387,-0.03875463639429022
13,3301,3,seed_sum_lastdigit,9,9,29,0.34843205574912894,0.3103448275862069,0.8906896551724137,-0.03808722816292204
13,1103,1,seed_sum_mod3,0,28,99,0.3170731707317073,0.2828282828282828,0.8919968919968919,-0.034244887903424504
13,0013,0,seed_consecutive_pairs,1,40,133,0.3344947735191638,0.3007518796992481,0.8991228070175438,-0.03374289381991569
13,3301,3,seed_high_count,3,22,70,0.34843205574912894,0.3142857142857143,0.9019999999999999,-0.034146341463414664
13,0013,0,seed_even_count,3,23,76,0.3344947735191638,0.3026315789473684,0.9047423245614035,-0.03186319457179537
13,1103,1,seed_lead_band,7-9,27,94,0.3170731707317073,0.2872340425531915,0.9058919803600656,-0.029839128178515806
13,0013,0,seed_sum_mod3,0,30,99,0.3344947735191638,0.30303030303030304,0.9059343434343434,-0.03146447048886075
14,1104,1,seed_sum_lastdigit,4,5,25,0.33584905660377357,0.2,0.5955056179775282,-0.13584905660377355
14,0014,0,seed_sum_mod3,0,19,82,0.36981132075471695,0.23170731707317074,0.6265555002488801,-0.1381040036815462
